Probenahme_Boden_ID,Versuchsjahr,Parzelle_ID
293,1978,10
294,1978,31
295,1978,34
296,1978,56
297,1978,11
298,1978,24
299,1978,35
300,1978,62
301,1978,12
302,1978,32
303,1978,36
304,1978,55
305,1978,13
306,1978,25
307,1978,40
308,1978,49
309,1978,14
310,1978,21
311,1978,42
312,1978,50
313,1978,15
314,1978,23
315,1978,44
316,1978,51
317,1978,16
318,1978,27
319,1978,38
320,1978,52
321,1980,1
322,1980,22
323,1980,45
324,1980,57
325,1980,2
326,1980,28
327,1980,39
328,1980,63
329,1980,3
330,1980,30
331,1980,37
332,1980,60
333,1980,4
334,1980,26
335,1980,48
336,1980,53
337,1980,5
338,1980,17
339,1980,43
340,1980,61
341,1980,6
342,1980,18
343,1980,41
344,1980,64
345,1980,7
346,1980,19
347,1980,47
348,1980,59
349,1980,8
350,1980,20
351,1980,46
352,1980,58
353,1980,9
354,1980,29
355,1980,33
356,1980,54
357,1980,10
358,1980,31
359,1980,34
360,1980,56
361,1980,11
362,1980,24
363,1980,35
364,1980,62
365,1980,12
366,1980,32
367,1980,36
368,1980,55
369,1980,13
370,1980,25
371,1980,40
372,1980,49
373,1980,14
374,1980,21
375,1980,42
376,1980,50
377,1980,15
378,1980,23
379,1980,44
380,1980,51
381,1980,16
382,1980,27
383,1980,38
384,1980,52
385,1981,1
386,1981,22
387,1981,45
388,1981,57
389,1981,2
390,1981,28
391,1981,39
392,1981,63
393,1981,3
394,1981,30
395,1981,37
396,1981,60
397,1981,4
398,1981,26
399,1981,48
400,1981,53
401,1981,5
402,1981,17
403,1981,43
404,1981,61
405,1981,6
406,1981,18
407,1981,41
408,1981,64
409,1981,7
410,1981,19
411,1981,47
412,1981,59
413,1981,8
414,1981,20
415,1981,46
416,1981,58
417,1981,9
418,1981,29
419,1981,33
420,1981,54
421,1981,10
422,1981,31
423,1981,34
424,1981,56
425,1981,11
426,1981,24
427,1981,35
428,1981,62
429,1981,12
430,1981,32
431,1981,36
432,1981,55
433,1981,13
434,1981,25
435,1981,40
436,1981,49
437,1981,14
438,1981,21
439,1981,42
440,1981,50
441,1981,15
442,1981,23
443,1981,44
444,1981,51
445,1981,16
446,1981,27
447,1981,38
448,1981,52
449,1983,1
450,1983,22
451,1983,45
452,1983,57
453,1983,2
454,1983,28
455,1983,39
456,1983,63
457,1983,3
458,1983,30
459,1983,37
460,1983,60
461,1983,4
462,1983,26
463,1983,48
464,1983,53
465,1983,5
466,1983,17
467,1983,43
468,1983,61
469,1983,6
470,1983,18
471,1983,41
472,1983,64
473,1983,7
474,1983,19
475,1983,47
476,1983,59
477,1983,8
478,1983,20
479,1983,46
480,1983,58
481,1983,9
482,1983,29
483,1983,33
484,1983,54
485,1983,10
486,1983,31
487,1983,34
488,1983,56
489,1983,11
490,1983,24
491,1983,35
492,1983,62
493,1983,12
494,1983,32
495,1983,36
496,1983,55
497,1983,13
498,1983,25
499,1983,40
500,1983,49
501,1983,14
502,1983,21
503,1983,42
504,1983,50
505,1983,15
506,1983,23
507,1983,44
508,1983,51
509,1983,16
510,1983,27
511,1983,38
512,1983,52
513,1985,1
514,1985,22
515,1985,45
516,1985,57
517,1985,2
518,1985,28
519,1985,39
520,1985,63
521,1985,3
522,1985,30
523,1985,37
524,1985,60
525,1985,4
526,1985,26
527,1985,48
528,1985,53
529,1985,5
530,1985,17
531,1985,43
532,1985,61
533,1985,6
534,1985,18
535,1985,41
536,1985,64
537,1985,7
538,1985,19
539,1985,47
540,1985,59
541,1985,8
542,1985,20
543,1985,46
544,1985,58
545,1985,9
546,1985,29
547,1985,33
548,1985,54
549,1985,10
550,1985,31
551,1985,34
552,1985,56
553,1985,11
554,1985,24
555,1985,35
556,1985,62
557,1985,12
558,1985,32
559,1985,36
560,1985,55
561,1985,13
562,1985,25
563,1985,40
564,1985,49
565,1985,14
566,1985,21
567,1985,42
568,1985,50
569,1985,15
570,1985,23
571,1985,44
572,1985,51
573,1985,16
574,1985,27
575,1985,38
576,1985,52
577,1987,1
578,1987,22
579,1987,45
580,1987,57
581,1987,2
582,1987,28
583,1987,39
584,1987,63
585,1987,3
586,1987,30
587,1987,37
588,1987,60
589,1987,4
590,1987,26
591,1987,48
592,1987,53
593,1987,5
594,1987,17
595,1987,43
596,1987,61
597,1987,6
598,1987,18
599,1987,41
600,1987,64
601,1987,7
602,1987,19
603,1987,47
604,1987,59
605,1987,8
606,1987,20
607,1987,46
608,1987,58
609,1987,9
610,1987,29
611,1987,33
612,1987,54
613,1987,10
614,1987,31
615,1987,34
616,1987,56
617,1987,11
618,1987,24
619,1987,35
620,1987,62
621,1987,12
622,1987,32
623,1987,36
624,1987,55
625,1987,13
626,1987,25
627,1987,40
628,1987,49
629,1987,14
630,1987,21
631,1987,42
632,1987,50
633,1987,15
634,1987,23
635,1987,44
636,1987,51
637,1987,16
638,1987,27
639,1987,38
640,1987,52
641,1988,1
642,1988,22
643,1988,45
644,1988,57
645,1988,2
646,1988,28
647,1988,39
648,1988,63
649,1988,3
650,1988,30
651,1988,37
652,1988,60
653,1988,4
654,1988,26
655,1988,48
656,1988,53
657,1988,5
658,1988,17
659,1988,43
660,1988,61
661,1988,6
662,1988,18
663,1988,41
664,1988,64
665,1988,7
666,1988,19
667,1988,47
668,1988,59
669,1988,8
670,1988,20
671,1988,46
672,1988,58
673,1988,9
674,1988,29
675,1988,33
676,1988,54
677,1988,10
678,1988,31
679,1988,34
680,1988,56
681,1988,11
682,1988,24
683,1988,35
684,1988,62
685,1988,12
686,1988,32
687,1988,36
688,1988,55
689,1988,13
690,1988,25
691,1988,40
692,1988,49
693,1988,14
694,1988,21
695,1988,42
696,1988,50
697,1988,15
698,1988,23
699,1988,44
700,1988,51
701,1988,16
702,1988,27
703,1988,38
704,1988,52
705,1989,1
706,1989,22
707,1989,45
708,1989,57
709,1989,2
710,1989,28
711,1989,39
712,1989,63
713,1989,3
714,1989,30
715,1989,37
716,1989,60
717,1989,4
718,1989,26
719,1989,48
720,1989,53
721,1989,5
722,1989,17
723,1989,43
724,1989,61
725,1989,6
726,1989,18
727,1989,41
728,1989,64
729,1989,7
730,1989,19
731,1989,47
732,1989,59
733,1989,8
734,1989,20
735,1989,46
736,1989,58
737,1989,9
738,1989,29
739,1989,33
740,1989,54
741,1989,10
742,1989,31
743,1989,34
744,1989,56
745,1989,11
746,1989,24
747,1989,35
748,1989,62
749,1989,12
750,1989,32
751,1989,36
752,1989,55
753,1989,13
754,1989,25
755,1989,40
756,1989,49
757,1989,14
758,1989,21
759,1989,42
760,1989,50
761,1989,15
762,1989,23
763,1989,44
764,1989,51
765,1989,16
766,1989,27
767,1989,38
768,1989,52
769,1990,1
770,1990,22
771,1990,45
772,1990,57
773,1990,2
774,1990,28
775,1990,39
776,1990,63
777,1990,3
778,1990,30
779,1990,37
780,1990,60
781,1990,4
782,1990,26
783,1990,48
784,1990,53
785,1990,5
786,1990,17
787,1990,43
788,1990,61
789,1990,6
790,1990,18
791,1990,41
792,1990,64
793,1990,7
794,1990,19
795,1990,47
796,1990,59
797,1990,8
798,1990,20
799,1990,46
800,1990,58
801,1990,9
802,1990,29
803,1990,33
804,1990,54
805,1990,10
806,1990,31
807,1990,34
808,1990,56
809,1990,11
810,1990,24
811,1990,35
812,1990,62
813,1990,12
814,1990,32
815,1990,36
816,1990,55
817,1990,13
818,1990,25
819,1990,40
820,1990,49
821,1990,14
822,1990,21
823,1990,42
824,1990,50
825,1990,15
826,1990,23
827,1990,44
828,1990,51
829,1990,16
830,1990,27
831,1990,38
832,1990,52
833,1991,1
834,1991,22
835,1991,45
836,1991,57
837,1991,2
838,1991,28
839,1991,39
840,1991,63
841,1991,3
842,1991,30
843,1991,37
844,1991,60
845,1991,4
846,1991,26
847,1991,48
848,1991,53
849,1991,5
850,1991,17
851,1991,43
852,1991,61
853,1991,6
854,1991,18
855,1991,41
856,1991,64
857,1991,7
858,1991,19
859,1991,47
860,1991,59
861,1991,8
862,1991,20
863,1991,46
864,1991,58
865,1991,9
866,1991,29
867,1991,33
868,1991,54
869,1991,10
870,1991,31
871,1991,34
872,1991,56
873,1991,11
874,1991,24
875,1991,35
876,1991,62
877,1991,12
878,1991,32
879,1991,36
880,1991,55
881,1991,13
882,1991,25
883,1991,40
884,1991,49
885,1991,14
886,1991,21
887,1991,42
888,1991,50
889,1991,15
890,1991,23
891,1991,44
892,1991,51
893,1991,16
894,1991,27
895,1991,38
896,1991,52
897,1992,1
898,1992,22
899,1992,45
900,1992,57
901,1992,2
902,1992,28
903,1992,39
904,1992,63
905,1992,3
906,1992,30
907,1992,37
908,1992,60
909,1992,4
910,1992,26
911,1992,48
912,1992,53
913,1992,5
914,1992,17
915,1992,43
916,1992,61
917,1992,6
918,1992,18
919,1992,41
920,1992,64
921,1992,7
922,1992,19
923,1992,47
924,1992,59
925,1992,8
926,1992,20
927,1992,46
928,1992,58
929,1992,9
930,1992,29
931,1992,33
932,1992,54
933,1992,10
934,1992,31
935,1992,34
936,1992,56
937,1992,11
938,1992,24
939,1992,35
940,1992,62
941,1992,12
942,1992,32
943,1992,36
944,1992,55
945,1992,13
946,1992,25
947,1992,40
948,1992,49
949,1992,14
950,1992,21
951,1992,42
952,1992,50
953,1992,15
954,1992,23
955,1992,44
956,1992,51
957,1992,16
958,1992,27
959,1992,38
960,1992,52
961,1993,1
962,1993,22
963,1993,45
964,1993,57
965,1993,2
966,1993,28
967,1993,39
968,1993,63
969,1993,3
970,1993,30
971,1993,37
972,1993,60
973,1993,4
974,1993,26
975,1993,48
976,1993,53
977,1993,5
978,1993,17
979,1993,43
980,1993,61
981,1993,6
982,1993,18
983,1993,41
984,1993,64
985,1993,7
986,1993,19
987,1993,47
988,1993,59
989,1993,8
990,1993,20
991,1993,46
992,1993,58
993,1993,9
994,1993,29
995,1993,33
996,1993,54
997,1993,10
998,1993,31
999,1993,34
1000,1993,56
1001,1993,11
1002,1993,24
1003,1993,35
1004,1993,62
1005,1993,12
1006,1993,32
1007,1993,36
1008,1993,55
1009,1993,13
1010,1993,25
1011,1993,40
1012,1993,49
1013,1993,14
1014,1993,21
1015,1993,42
1016,1993,50
1017,1993,15
1018,1993,23
1019,1993,44
1020,1993,51
1021,1993,16
1022,1993,27
1023,1993,38
1024,1993,52
1025,1994,1
1026,1994,22
1027,1994,45
1028,1994,57
1029,1994,2
1030,1994,28
1031,1994,39
1032,1994,63
1033,1994,3
1034,1994,30
1035,1994,37
1036,1994,60
1037,1994,4
1038,1994,26
1039,1994,48
1040,1994,53
1041,1994,5
1042,1994,17
1043,1994,43
1044,1994,61
1045,1994,6
1046,1994,18
1047,1994,41
1048,1994,64
1049,1994,7
1050,1994,19
1051,1994,47
1052,1994,59
1053,1994,8
1054,1994,20
1055,1994,46
1056,1994,58
1057,1994,9
1058,1994,29
1059,1994,33
1060,1994,54
1061,1994,10
1062,1994,31
1063,1994,34
1064,1994,56
1065,1994,11
1066,1994,24
1067,1994,35
1068,1994,62
1069,1994,12
1070,1994,32
1071,1994,36
1072,1994,55
1073,1994,13
1074,1994,25
1075,1994,40
1076,1994,49
1077,1994,14
1078,1994,21
1079,1994,42
1080,1994,50
1081,1994,15
1082,1994,23
1083,1994,44
1084,1994,51
1085,1994,16
1086,1994,27
1087,1994,38
1088,1994,52
1089,1996,1
1090,1996,22
1091,1996,45
1092,1996,57
1093,1996,2
1094,1996,28
1095,1996,39
1096,1996,63
1097,1996,3
1098,1996,30
1099,1996,37
1100,1996,60
1101,1996,4
1102,1996,26
1103,1996,48
1104,1996,53
1105,1996,5
1106,1996,17
1107,1996,43
1108,1996,61
1109,1996,6
1110,1996,18
1111,1996,41
1112,1996,64
1113,1996,7
1114,1996,19
1115,1996,47
1116,1996,59
1117,1996,8
1118,1996,20
1119,1996,46
1120,1996,58
1121,1996,9
1122,1996,29
1123,1996,33
1124,1996,54
1125,1996,10
1126,1996,31
1127,1996,34
1128,1996,56
1129,1996,11
1130,1996,24
1131,1996,35
1132,1996,62
1133,1996,12
1134,1996,32
1135,1996,36
1136,1996,55
1137,1996,13
1138,1996,25
1139,1996,40
1140,1996,49
1141,1996,14
1142,1996,21
1143,1996,42
1144,1996,50
1145,1996,15
1146,1996,23
1147,1996,44
1148,1996,51
1149,1996,16
1150,1996,27
1151,1996,38
1152,1996,52
1153,1997,1
1154,1997,22
1155,1997,45
1156,1997,57
1157,1997,2
1158,1997,28
1159,1997,39
1160,1997,63
1161,1997,3
1162,1997,30
1163,1997,37
1164,1997,60
1165,1997,4
1166,1997,26
1167,1997,48
1168,1997,53
1169,1997,5
1170,1997,17
1171,1997,43
1172,1997,61
1173,1997,6
1174,1997,18
1175,1997,41
1176,1997,64
1177,1997,7
1178,1997,19
1179,1997,47
1180,1997,59
1181,1997,8
1182,1997,20
1183,1997,46
1184,1997,58
1185,1997,9
1186,1997,29
1187,1997,33
1188,1997,54
1189,1997,10
1190,1997,31
1191,1997,34
1192,1997,56
1193,1997,11
1194,1997,24
1195,1997,35
1196,1997,62
1197,1997,12
1198,1997,32
1199,1997,36
1200,1997,55
1201,1997,13
1202,1997,25
1203,1997,40
1204,1997,49
1205,1997,14
1206,1997,21
1207,1997,42
1208,1997,50
1209,1997,15
1210,1997,23
1211,1997,44
1212,1997,51
1213,1997,16
1214,1997,27
1215,1997,38
1216,1997,52
1217,1998,1
1218,1998,22
1219,1998,45
1220,1998,57
1221,1998,2
1222,1998,28
1223,1998,39
1224,1998,63
1225,1998,3
1226,1998,30
1227,1998,37
1228,1998,60
1229,1998,4
1230,1998,26
1231,1998,48
1232,1998,53
1233,1998,5
1234,1998,17
1235,1998,43
1236,1998,61
1237,1998,6
1238,1998,18
1239,1998,41
1240,1998,64
1241,1998,7
1242,1998,19
1243,1998,47
1244,1998,59
1245,1998,8
1246,1998,20
1247,1998,46
1248,1998,58
1249,1998,9
1250,1998,29
1251,1998,33
1252,1998,54
1253,1998,10
1254,1998,31
1255,1998,34
1256,1998,56
1257,1998,11
1258,1998,24
1259,1998,35
1260,1998,62
1261,1998,12
1262,1998,32
1263,1998,36
1264,1998,55
1265,1998,13
1266,1998,25
1267,1998,40
1268,1998,49
1269,1998,14
1270,1998,21
1271,1998,42
1272,1998,50
1273,1998,15
1274,1998,23
1275,1998,44
1276,1998,51
1277,1998,16
1278,1998,27
1279,1998,38
1280,1998,52
1281,1999,1
1282,1999,22
1283,1999,45
1284,1999,57
1285,1999,2
1286,1999,28
1287,1999,39
1288,1999,63
1289,1999,3
1290,1999,30
1291,1999,37
1292,1999,60
1293,1999,4
1294,1999,26
1295,1999,48
1296,1999,53
1297,1999,5
1298,1999,17
1299,1999,43
1300,1999,61
1301,1999,6
1302,1999,18
1303,1999,41
1304,1999,64
1305,1999,7
1306,1999,19
1307,1999,47
1308,1999,59
1309,1999,8
1310,1999,20
1311,1999,46
1312,1999,58
1313,1999,9
1314,1999,29
1315,1999,33
1316,1999,54
1317,1999,10
1318,1999,31
1319,1999,34
1320,1999,56
1321,1999,11
1322,1999,24
1323,1999,35
1324,1999,62
1325,1999,12
1326,1999,32
1327,1999,36
1328,1999,55
1329,1999,13
1330,1999,25
1331,1999,40
1332,1999,49
1333,1999,14
1334,1999,21
1335,1999,42
1336,1999,50
1337,1999,15
1338,1999,23
1339,1999,44
1340,1999,51
1341,1999,16
1342,1999,27
1343,1999,38
1344,1999,52
