Pflanzenlaborwerte_ID,Probenahme_Pflanzen_ID,P2O5,K2O,N,Ertrag_Staerke,Gehalt_Staerke,Gehalt_Zucker,Blauzahl,Loesl_Trockensubstanz,Loesl_Asche,Bemerkungen_ID
118,118,,,,,,15.7,0.043,21,0.714,23
119,119,,,,,,15.7,0.043,21,0.714,23
120,120,,,,,,15.7,0.043,21,0.714,23
121,121,,,,,,15.5,0.052,20.6,0.803,23
122,122,,,,,,15.5,0.052,20.6,0.803,23
123,123,,,,,,15.5,0.052,20.6,0.803,23
124,124,,,,,,15.5,0.052,20.6,0.803,23
125,125,,,,,,15.4,0.053,20.8,0.885,23
126,126,,,,,,15.4,0.053,20.8,0.885,23
127,127,,,,,,15.4,0.053,20.8,0.885,23
128,128,,,,,,15.4,0.053,20.8,0.885,23
129,129,,,,19.6,15.8,,,,,
130,130,,,,19.6,15.8,,,,,
131,131,,,,19.6,15.8,,,,,
132,132,,,,19.6,15.8,,,,,
133,133,,,,25.3,16.2,,,,,
134,134,,,,25.3,16.2,,,,,
135,135,,,,25.3,16.2,,,,,
136,136,,,,25.3,16.2,,,,,
137,137,,,,25.2,15.8,,,,,
138,138,,,,25.2,15.8,,,,,
139,139,,,,25.2,15.8,,,,,
140,140,,,,25.2,15.8,,,,,
141,141,,,,25.8,15.9,,,,,
142,142,,,,25.8,15.9,,,,,
143,143,,,,25.8,15.9,,,,,
144,144,,,,25.8,15.9,,,,,
145,145,,,,21.2,15.8,,,,,
146,146,,,,21.2,15.8,,,,,
147,147,,,,21.2,15.8,,,,,
148,148,,,,21.2,15.8,,,,,
149,149,,,,26.8,16.4,,,,,
150,150,,,,26.8,16.4,,,,,
151,151,,,,26.8,16.4,,,,,
152,152,,,,26.8,16.4,,,,,
153,153,,,,25.6,15.6,,,,,
154,154,,,,25.6,15.6,,,,,
155,155,,,,25.6,15.6,,,,,
156,156,,,,25.6,15.6,,,,,
157,157,,,,25.5,15,,,,,
158,158,,,,25.5,15,,,,,
159,159,,,,25.5,15,,,,,
160,160,,,,25.5,15,,,,,
161,161,,,,26.6,16.5,,,,,
162,162,,,,26.6,16.5,,,,,
163,163,,,,26.6,16.5,,,,,
164,164,,,,26.6,16.5,,,,,
165,165,,,,27.4,15.9,,,,,
166,166,,,,27.4,15.9,,,,,
167,167,,,,27.4,15.9,,,,,
168,168,,,,27.4,15.9,,,,,
169,169,,,,28.5,16.2,,,,,
170,170,,,,28.5,16.2,,,,,
171,171,,,,28.5,16.2,,,,,
172,172,,,,28.5,16.2,,,,,
173,173,,,,24.2,15.4,,,,,
174,174,,,,24.2,15.4,,,,,
175,175,,,,24.2,15.4,,,,,
176,176,,,,24.2,15.4,,,,,
177,177,,,,27.2,17.2,,,,,
178,178,,,,27.2,17.2,,,,,
179,179,,,,27.2,17.2,,,,,
180,180,,,,27.2,17.2,,,,,
181,181,,,,30.7,16.8,,,,,
182,182,,,,30.7,16.8,,,,,
183,183,,,,30.7,16.8,,,,,
184,184,,,,30.7,16.8,,,,,
185,185,,,,28.9,16.9,,,,,
186,186,,,,28.9,16.9,,,,,
187,187,,,,28.9,16.9,,,,,
188,188,,,,28.9,16.9,,,,,
189,189,,,,26.8,16.6,,,,,
190,190,,,,26.8,16.6,,,,,
191,191,,,,26.8,16.6,,,,,
192,192,,,,26.8,16.6,,,,,
193,193,,,,32.3,16.1,,,,,
194,194,,,,32.3,16.1,,,,,
195,195,,,,32.3,16.1,,,,,
196,196,,,,32.3,16.1,,,,,
197,197,,,,41.8,15.6,,,,,
198,198,,,,41.8,15.6,,,,,
199,199,,,,41.8,15.6,,,,,
200,200,,,,41.8,15.6,,,,,
201,201,,,,42.3,15.7,,,,,
202,202,,,,42.3,15.7,,,,,
203,203,,,,42.3,15.7,,,,,
204,204,,,,42.3,15.7,,,,,
205,205,,,,41.9,15,,,,,
206,206,,,,41.9,15,,,,,
207,207,,,,41.9,15,,,,,
208,208,,,,41.9,15,,,,,
209,209,,,,34.9,15.8,,,,,
210,210,,,,34.9,15.8,,,,,
211,211,,,,34.9,15.8,,,,,
212,212,,,,34.9,15.8,,,,,
213,213,,,,40.9,15.8,,,,,
214,214,,,,40.9,15.8,,,,,
215,215,,,,40.9,15.8,,,,,
216,216,,,,40.9,15.8,,,,,
217,217,,,,40,15.3,,,,,
218,218,,,,40,15.3,,,,,
219,219,,,,40,15.3,,,,,
220,220,,,,40,15.3,,,,,
221,221,,,,37.7,14.9,,,,,
222,222,,,,37.7,14.9,,,,,
223,223,,,,37.7,14.9,,,,,
224,224,,,,37.7,14.9,,,,,
225,225,,,,36.9,15,,,,,
226,226,,,,36.9,15,,,,,
227,227,,,,36.9,15,,,,,
228,228,,,,36.9,15,,,,,
229,229,,,,44.3,14.8,,,,,
230,230,,,,44.3,14.8,,,,,
231,231,,,,44.3,14.8,,,,,
232,232,,,,44.3,14.8,,,,,
233,233,,,,40.2,14.4,,,,,
234,234,,,,40.2,14.4,,,,,
235,235,,,,40.2,14.4,,,,,
236,236,,,,40.2,14.4,,,,,
237,237,,,,41.2,14.8,,,,,
238,238,,,,41.2,14.8,,,,,
239,239,,,,41.2,14.8,,,,,
240,240,,,,41.2,14.8,,,,,
241,241,,,,42.3,15.3,,,,,
242,242,,,,42.3,15.3,,,,,
243,243,,,,42.3,15.3,,,,,
244,244,,,,42.3,15.3,,,,,
245,245,,,,43.7,15,,,,,
246,246,,,,43.7,15,,,,,
247,247,,,,43.7,15,,,,,
248,248,,,,43.7,15,,,,,
249,249,,,,46.4,15.4,,,,,
250,250,,,,46.4,15.4,,,,,
251,251,,,,46.4,15.4,,,,,
252,252,,,,46.4,15.4,,,,,
253,253,,,,39.9,14.4,,,,,
254,254,,,,39.9,14.4,,,,,
255,255,,,,39.9,14.4,,,,,
256,256,,,,39.9,14.4,,,,,
257,257,,,,,,16.8,0.028,20.4,0.4,21
258,258,,,,,,16.8,0.028,20.4,0.4,21
259,259,,,,,,16.8,0.028,20.4,0.4,21
260,260,,,,,,16.8,0.028,20.4,0.4,21
261,261,,,,,,16.4,0.032,20.2,0.43,21
262,262,,,,,,16.4,0.032,20.2,0.43,21
263,263,,,,,,16.4,0.032,20.2,0.43,21
264,264,,,,,,16.4,0.032,20.2,0.43,21
265,265,,,,,,15.6,0.049,19.6,0.44,21
266,266,,,,,,15.6,0.049,19.6,0.44,21
267,267,,,,,,15.6,0.049,19.6,0.44,21
268,268,,,,,,15.6,0.049,19.6,0.44,21
269,269,,,,,,14.6,0.08,19,0.52,21
270,270,,,,,,14.6,0.08,19,0.52,21
271,271,,,,,,14.6,0.08,19,0.52,21
272,272,,,,,,14.6,0.08,19,0.52,21
273,273,,,,,,16.4,0.031,20.2,0.41,21
274,274,,,,,,16.4,0.031,20.2,0.41,21
275,275,,,,,,16.4,0.031,20.2,0.41,21
276,276,,,,,,16.4,0.031,20.2,0.41,21
277,277,,,,,,16.2,0.048,20,0.44,21
278,278,,,,,,16.2,0.048,20,0.44,21
279,279,,,,,,16.2,0.048,20,0.44,21
280,280,,,,,,16.2,0.048,20,0.44,21
281,281,,,,,,15.4,0.061,19.6,0.51,21
282,282,,,,,,15.4,0.061,19.6,0.51,21
283,283,,,,,,15.4,0.061,19.6,0.51,21
284,284,,,,,,15.4,0.061,19.6,0.51,21
285,285,,,,,,14.6,0.073,19.8,0.59,21
286,286,,,,,,14.6,0.073,19.8,0.59,21
287,287,,,,,,14.6,0.073,19.8,0.59,21
288,288,,,,,,14.6,0.073,19.8,0.59,21
289,289,,,,,,16.4,0.024,20,0.43,21
290,290,,,,,,16.4,0.024,20,0.43,21
291,291,,,,,,16.4,0.024,20,0.43,21
292,292,,,,,,16.4,0.024,20,0.43,21
293,293,,,,,,15.6,0.047,19.6,0.54,21
294,294,,,,,,15.6,0.047,19.6,0.54,21
295,295,,,,,,15.6,0.047,19.6,0.54,21
296,296,,,,,,15.6,0.047,19.6,0.54,21
