Bodenbearbeitung_ID,Versuchsjahr,Termin,Parzelle_ID,Tiefe,Technik_ID,Bodenbearbeitung_Massnahme_ID,Bemerkungen_ID
567,1989,19890308,55,,7,13,
568,1989,19890308,56,,7,13,
569,1989,19890308,57,,7,13,
570,1989,19890308,58,,7,13,
571,1989,19890308,59,,7,13,
572,1989,19890308,60,,7,13,
573,1989,19890308,61,,7,13,
574,1989,19890308,62,,7,13,
575,1989,19890308,63,,7,13,
576,1989,19890308,64,,7,13,
577,1989,19890411,1,,6,7,
578,1989,19890411,2,,6,7,
579,1989,19890411,3,,6,7,
580,1989,19890411,4,,6,7,
581,1989,19890411,5,,6,7,
582,1989,19890411,6,,6,7,
583,1989,19890411,7,,6,7,
584,1989,19890411,8,,6,7,
585,1989,19890411,9,,6,7,
586,1989,19890411,10,,6,7,
587,1989,19890411,11,,6,7,
588,1989,19890411,12,,6,7,
589,1989,19890411,13,,6,7,
590,1989,19890411,14,,6,7,
591,1989,19890411,15,,6,7,
592,1989,19890411,16,,6,7,
593,1989,19890411,17,,6,7,
594,1989,19890411,18,,6,7,
595,1989,19890411,19,,6,7,
596,1989,19890411,20,,6,7,
597,1989,19890411,21,,6,7,
598,1989,19890411,22,,6,7,
599,1989,19890411,23,,6,7,
600,1989,19890411,24,,6,7,
601,1989,19890411,25,,6,7,
602,1989,19890411,26,,6,7,
603,1989,19890411,27,,6,7,
604,1989,19890411,28,,6,7,
605,1989,19890411,29,,6,7,
606,1989,19890411,30,,6,7,
607,1989,19890411,31,,6,7,
608,1989,19890411,32,,6,7,
609,1989,19890411,33,,6,7,
610,1989,19890411,34,,6,7,
611,1989,19890411,35,,6,7,
612,1989,19890411,36,,6,7,
613,1989,19890411,37,,6,7,
614,1989,19890411,38,,6,7,
615,1989,19890411,39,,6,7,
616,1989,19890411,40,,6,7,
617,1989,19890411,41,,6,7,
618,1989,19890411,42,,6,7,
619,1989,19890411,43,,6,7,
620,1989,19890411,44,,6,7,
621,1989,19890411,45,,6,7,
622,1989,19890411,46,,6,7,
623,1989,19890411,47,,6,7,
624,1989,19890411,48,,6,7,
625,1989,19890411,49,,6,7,
626,1989,19890411,50,,6,7,
627,1989,19890411,51,,6,7,
628,1989,19890411,52,,6,7,
