Probenahme_Pflanzen_ID,Versuchsjahr,Parzelle_ID
293,1977,10
294,1977,31
295,1977,34
296,1977,56
297,1977,11
298,1977,24
299,1977,35
300,1977,62
301,1977,12
302,1977,32
303,1977,36
304,1977,55
305,1977,13
306,1977,25
307,1977,40
308,1977,49
309,1977,14
310,1977,21
311,1977,42
312,1977,50
313,1977,15
314,1977,23
315,1977,44
316,1977,51
317,1977,16
318,1977,27
319,1977,38
320,1977,52
321,1977,1
322,1977,22
323,1977,45
324,1977,57
325,1977,2
326,1977,28
327,1977,39
328,1977,63
329,1977,3
330,1977,30
331,1977,37
332,1977,60
333,1977,4
334,1977,26
335,1977,36
336,1977,53
337,1977,5
338,1977,17
339,1977,43
340,1977,61
341,1977,6
342,1977,18
343,1977,41
344,1977,64
345,1977,7
346,1977,19
347,1977,47
348,1977,59
349,1977,8
350,1977,20
351,1977,46
352,1977,58
353,1977,9
354,1977,29
355,1977,33
356,1977,54
357,1977,10
358,1977,31
359,1977,34
360,1977,56
361,1977,11
362,1977,24
363,1977,35
364,1977,62
365,1977,12
366,1977,32
367,1977,36
368,1977,55
369,1977,13
370,1977,25
371,1977,40
372,1977,49
373,1977,14
374,1977,21
375,1977,42
376,1977,50
377,1977,15
378,1977,23
379,1977,44
380,1977,51
381,1977,16
382,1977,27
383,1977,38
384,1977,52
385,1979,1
386,1979,22
387,1979,45
388,1979,57
389,1979,2
390,1979,28
391,1979,39
392,1979,63
393,1979,3
394,1979,30
395,1979,37
396,1979,60
397,1979,4
398,1979,26
399,1979,36
400,1979,53
401,1979,5
402,1979,17
403,1979,43
404,1979,61
405,1979,6
406,1979,18
407,1979,41
408,1979,64
409,1979,7
410,1979,19
411,1979,47
412,1979,59
413,1979,8
414,1979,20
415,1979,46
416,1979,58
417,1979,9
418,1979,29
419,1979,33
420,1979,54
421,1979,10
422,1979,31
423,1979,34
424,1979,56
425,1979,11
426,1979,24
427,1979,35
428,1979,62
429,1979,12
430,1979,32
431,1979,36
432,1979,55
433,1979,13
434,1979,25
435,1979,40
436,1979,49
437,1979,14
438,1979,21
439,1979,42
440,1979,50
441,1979,15
442,1979,23
443,1979,44
444,1979,51
445,1979,16
446,1979,27
447,1979,38
448,1979,52
449,1979,1
450,1979,22
451,1979,45
452,1979,57
453,1979,2
454,1979,28
455,1979,39
456,1979,63
457,1979,3
458,1979,30
459,1979,37
460,1979,60
461,1979,4
462,1979,26
463,1979,36
464,1979,53
465,1979,5
466,1979,17
467,1979,43
468,1979,61
469,1979,6
470,1979,18
471,1979,41
472,1979,64
473,1979,7
474,1979,19
475,1979,47
476,1979,59
477,1979,8
478,1979,20
479,1979,46
480,1979,58
481,1979,9
482,1979,29
483,1979,33
484,1979,54
485,1979,10
486,1979,31
487,1979,34
488,1979,56
489,1979,11
490,1979,24
491,1979,35
492,1979,62
493,1979,12
494,1979,32
495,1979,36
496,1979,55
497,1979,13
498,1979,25
499,1979,40
500,1979,49
501,1979,14
502,1979,21
503,1979,42
504,1979,50
505,1979,15
506,1979,23
507,1979,44
508,1979,51
509,1979,16
510,1979,27
511,1979,38
512,1979,52
513,1982,1
514,1982,22
515,1982,45
516,1982,57
517,1982,2
518,1982,28
519,1982,39
520,1982,63
521,1982,3
522,1982,30
523,1982,37
524,1982,60
525,1982,4
526,1982,26
527,1982,36
528,1982,53
529,1982,5
530,1982,17
531,1982,43
532,1982,61
533,1982,6
534,1982,18
535,1982,41
536,1982,64
537,1982,7
538,1982,19
539,1982,47
540,1982,59
541,1982,8
542,1982,20
543,1982,46
544,1982,58
545,1982,9
546,1982,29
547,1982,33
548,1982,54
549,1982,10
550,1982,31
551,1982,34
552,1982,56
553,1982,11
554,1982,24
555,1982,35
556,1982,62
557,1982,12
558,1982,32
559,1982,36
560,1982,55
561,1982,13
562,1982,25
563,1982,40
564,1982,49
565,1982,14
566,1982,21
567,1982,42
568,1982,50
569,1982,15
570,1982,23
571,1982,44
572,1982,51
573,1982,16
574,1982,27
575,1982,38
576,1982,52
577,1982,1
578,1982,22
579,1982,45
580,1982,57
581,1982,2
582,1982,28
583,1982,39
584,1982,63
585,1982,3
586,1982,30
587,1982,37
588,1982,60
589,1982,4
590,1982,26
591,1982,36
592,1982,53
593,1982,5
594,1982,17
595,1982,43
596,1982,61
597,1982,6
598,1982,18
599,1982,41
600,1982,64
601,1982,7
602,1982,19
603,1982,47
604,1982,59
605,1982,8
606,1982,20
607,1982,46
608,1982,58
609,1982,9
610,1982,29
611,1982,33
612,1982,54
613,1982,10
614,1982,31
615,1982,34
616,1982,56
617,1982,11
618,1982,24
619,1982,35
620,1982,62
621,1982,12
622,1982,32
623,1982,36
624,1982,55
625,1982,13
626,1982,25
627,1982,40
628,1982,49
629,1982,14
630,1982,21
631,1982,42
632,1982,50
633,1982,15
634,1982,23
635,1982,44
636,1982,51
637,1982,16
638,1982,27
639,1982,38
640,1982,52
641,1987,1
642,1987,22
643,1987,45
644,1987,57
645,1987,2
646,1987,28
647,1987,39
648,1987,63
649,1987,3
650,1987,30
651,1987,37
652,1987,60
653,1987,4
654,1987,26
655,1987,36
656,1987,53
657,1987,5
658,1987,17
659,1987,43
660,1987,61
661,1987,6
662,1987,18
663,1987,41
664,1987,64
665,1987,7
666,1987,19
667,1987,47
668,1987,59
669,1987,8
670,1987,20
671,1987,46
672,1987,58
673,1987,9
674,1987,29
675,1987,33
676,1987,54
677,1987,10
678,1987,31
679,1987,34
680,1987,56
681,1987,11
682,1987,24
683,1987,35
684,1987,62
685,1987,12
686,1987,32
687,1987,36
688,1987,55
689,1987,13
690,1987,25
691,1987,40
692,1987,49
693,1987,14
694,1987,21
695,1987,42
696,1987,50
697,1987,15
698,1987,23
699,1987,44
700,1987,51
701,1987,16
702,1987,27
703,1987,38
704,1987,52
705,1987,1
706,1987,22
707,1987,45
708,1987,57
709,1987,2
710,1987,28
711,1987,39
712,1987,63
713,1987,3
714,1987,30
715,1987,37
716,1987,60
717,1987,4
718,1987,26
719,1987,36
720,1987,53
721,1987,5
722,1987,17
723,1987,43
724,1987,61
725,1987,6
726,1987,18
727,1987,41
728,1987,64
729,1987,7
730,1987,19
731,1987,47
732,1987,59
733,1987,8
734,1987,20
735,1987,46
736,1987,58
737,1987,9
738,1987,29
739,1987,33
740,1987,54
741,1987,10
742,1987,31
743,1987,34
744,1987,56
745,1987,11
746,1987,24
747,1987,35
748,1987,62
749,1987,12
750,1987,32
751,1987,36
752,1987,55
753,1987,13
754,1987,25
755,1987,40
756,1987,49
757,1987,14
758,1987,21
759,1987,42
760,1987,50
761,1987,15
762,1987,23
763,1987,44
764,1987,51
765,1987,16
766,1987,27
767,1987,38
768,1987,52
769,1989,1
770,1989,22
771,1989,45
772,1989,57
773,1989,2
774,1989,28
775,1989,39
776,1989,63
777,1989,3
778,1989,30
779,1989,37
780,1989,60
781,1989,4
782,1989,26
783,1989,36
784,1989,53
785,1989,5
786,1989,17
787,1989,43
788,1989,61
789,1989,6
790,1989,18
791,1989,41
792,1989,64
793,1989,7
794,1989,19
795,1989,47
796,1989,59
797,1989,8
798,1989,20
799,1989,46
800,1989,58
801,1989,9
802,1989,29
803,1989,33
804,1989,54
805,1989,10
806,1989,31
807,1989,34
808,1989,56
809,1989,11
810,1989,24
811,1989,35
812,1989,62
813,1989,12
814,1989,32
815,1989,36
816,1989,55
817,1989,13
818,1989,25
819,1989,40
820,1989,49
821,1989,14
822,1989,21
823,1989,42
824,1989,50
825,1989,15
826,1989,23
827,1989,44
828,1989,51
829,1989,16
830,1989,27
831,1989,38
832,1989,52
833,1992,1
834,1992,22
835,1992,45
836,1992,57
837,1992,2
838,1992,28
839,1992,39
840,1992,63
841,1992,3
842,1992,30
843,1992,37
844,1992,60
845,1992,4
846,1992,26
847,1992,36
848,1992,53
849,1992,5
850,1992,17
851,1992,43
852,1992,61
853,1992,6
854,1992,18
855,1992,41
856,1992,64
857,1992,7
858,1992,19
859,1992,47
860,1992,59
861,1992,8
862,1992,20
863,1992,46
864,1992,58
865,1992,9
866,1992,29
867,1992,33
868,1992,54
869,1992,10
870,1992,31
871,1992,34
872,1992,56
873,1992,11
874,1992,24
875,1992,35
876,1992,62
877,1992,12
878,1992,32
879,1992,36
880,1992,55
881,1992,13
882,1992,25
883,1992,40
884,1992,49
885,1992,14
886,1992,21
887,1992,42
888,1992,50
889,1992,15
890,1992,23
891,1992,44
892,1992,51
893,1992,16
894,1992,27
895,1992,38
896,1992,52
897,1994,1
898,1994,22
899,1994,45
900,1994,57
901,1994,2
902,1994,28
903,1994,39
904,1994,63
905,1994,3
906,1994,30
907,1994,37
908,1994,60
909,1994,4
910,1994,26
911,1994,36
912,1994,53
913,1994,5
914,1994,17
915,1994,43
916,1994,61
917,1994,6
918,1994,18
919,1994,41
920,1994,64
921,1994,7
922,1994,19
923,1994,47
924,1994,59
925,1994,8
926,1994,20
927,1994,46
928,1994,58
929,1994,9
930,1994,29
931,1994,33
932,1994,54
933,1994,10
934,1994,31
935,1994,34
936,1994,56
937,1994,11
938,1994,24
939,1994,35
940,1994,62
941,1994,12
942,1994,32
943,1994,36
944,1994,55
945,1994,13
946,1994,25
947,1994,40
948,1994,49
949,1994,14
950,1994,21
951,1994,42
952,1994,50
953,1994,15
954,1994,23
955,1994,44
956,1994,51
957,1994,16
958,1994,27
959,1994,38
960,1994,52
961,1997,1
962,1997,22
963,1997,45
964,1997,57
965,1997,2
966,1997,28
967,1997,39
968,1997,63
969,1997,3
970,1997,30
971,1997,37
972,1997,60
973,1997,4
974,1997,26
975,1997,36
976,1997,53
977,1997,5
978,1997,17
979,1997,43
980,1997,61
981,1997,6
982,1997,18
983,1997,41
984,1997,64
985,1997,7
986,1997,19
987,1997,47
988,1997,59
989,1997,8
990,1997,20
991,1997,46
992,1997,58
993,1997,9
994,1997,29
995,1997,33
996,1997,54
997,1997,10
998,1997,31
999,1997,34
1000,1997,56
1001,1997,11
1002,1997,24
1003,1997,35
1004,1997,62
1005,1997,12
1006,1997,32
1007,1997,36
1008,1997,55
1009,1997,13
1010,1997,25
1011,1997,40
1012,1997,49
1013,1997,14
1014,1997,21
1015,1997,42
1016,1997,50
1017,1997,15
1018,1997,23
1019,1997,44
1020,1997,51
1021,1997,16
1022,1997,27
1023,1997,38
1024,1997,52
